pol        seed |      rew      cap     step      mdl     wait     comp      nsv |   pku    pkr obs  obsr   pkv   pkvr    mwt   cmp    cmr   anp   anpr     mtt   pnc    pncr |   noop  overld  mcand  cne_fr cne_mn   dstep    macmr    msd
213         500 |     6.20     0.00     0.00    -2.42    -4.38    13.00     0.00 | 13/17   0.76  6   0.35  3/13   0.23  188.31 13/17   0.76  0/17   0.00  279.54  0/13   0.00 |   0.711  0.667   0.71  0.368   1.91     12    0.345     18
214         600 |     5.24     0.00     0.00    -2.67    -3.09    11.00     0.00 | 11/19   0.58  9   0.47  2/11   0.18  141.27 11/19   0.58  2/19   0.11  311.82  0/11   0.00 |   0.600  0.733   0.71  0.400   1.78     11    0.349     15
215         700 |     4.54     0.00     0.00    -3.63    -2.83    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  210.00 11/19   0.58  4/19   0.21  290.55  0/11   0.00 |   0.644  0.611   0.93  0.442   2.10     12    0.252     18
216         800 |     3.12     0.00     0.00    -5.10    -1.78    10.00     0.00 | 12/20   0.60 14   0.70  6/12   0.50  294.42 10/20   0.50  6/20   0.30  221.00  2/12   0.17 |   0.640  0.600   0.85  0.410   2.07     12    0.156     20
217         900 |     7.74     0.00     0.00    -2.63    -2.63    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  152.85 13/17   0.76  0/17   0.00  325.54  0/13   0.00 |   0.663  0.632   0.71  0.380   1.87     12    0.407     19
218        1000 |     6.96     0.00     0.00    -2.07    -2.97    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  124.58 12/18   0.67  0/18   0.00  328.50  0/12   0.00 |   0.765  0.588   0.57  0.333   1.70     11    0.410     17
219         100 |     4.92     0.00     0.00    -4.13    -1.95    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  208.73 11/19   0.58  0/19   0.00  311.27  0/11   0.00 |   0.720  0.550   0.60  0.314   1.91     12    0.246     20
220         200 |     6.88     0.00     0.00    -2.07    -3.06    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  125.50 12/18   0.67  0/18   0.00  250.08  0/12   0.00 |   0.653  0.667   0.70  0.412   1.70     12    0.458     15
221         300 |     7.40     0.00     0.00    -2.60    -3.00    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  210.77 13/17   0.76  2/17   0.12  252.85  0/13   0.00 |   0.674  0.579   0.77  0.390   1.97     11    0.389     19
222         400 |     6.32     0.00     0.00    -2.10    -3.58    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  146.83 12/18   0.67  2/18   0.11  276.58  0/12   0.00 |   0.713  0.625   0.61  0.365   1.68     12    0.395     16
223         500 |     9.40     0.00     0.00    -2.10    -2.50    14.00     0.00 | 14/16   0.88  5   0.31  3/14   0.21  144.14 14/16   0.88  0/16   0.00  308.00  0/14   0.00 |   0.716  0.632   0.52  0.320   1.62     12    0.495     19
224         600 |     4.28     0.00     0.00    -3.10    -2.63    10.00     0.00 | 12/20   0.60 11   0.55  3/12   0.25  209.17 10/20   0.50  2/20   0.10  285.20  2/12   0.17 |   0.700  0.600   0.64  0.352   1.81     12    0.214     20
225         700 |     6.34     0.00     0.00    -2.10    -3.56    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  178.42 12/18   0.67  2/18   0.11  279.58  0/12   0.00 |   0.711  0.611   0.66  0.347   1.91     11    0.352     18
226         800 |     8.05     0.00     0.00    -1.80    -4.15    14.00     0.00 | 14/16   0.88  4   0.25  3/14   0.21  171.50 14/16   0.88  0/16   0.00  259.57  0/14   0.00 |   0.716  0.632   0.68  0.380   1.79     12    0.424     19
227         900 |     8.70     0.00     0.00    -2.10    -3.20    14.00     0.00 | 14/16   0.88  5   0.31  3/14   0.21  184.00 14/16   0.88  2/16   0.12  260.21  0/14   0.00 |   0.684  0.632   0.68  0.370   1.84     12    0.458     19
228        1000 |     5.93     0.00     0.00    -2.07    -4.00    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  158.42 12/18   0.67  0/18   0.00  288.67  0/12   0.00 |   0.588  0.750   0.82  0.435   1.89     12    0.371     16
229         100 |     6.06     0.00     0.00    -2.43    -3.51    12.00     0.00 | 12/18   0.67  7   0.39  2/12   0.17  137.58 12/18   0.67  2/18   0.11  253.58  0/12   0.00 |   0.625  0.625   0.79  0.412   1.91     11    0.378     16
230         200 |     6.31     0.00     0.00    -2.53    -3.15    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  165.25 12/18   0.67  2/18   0.11  277.42  0/12   0.00 |   0.600  0.750   0.78  0.447   1.74     12    0.394     16
231         300 |     5.42     0.00     0.00    -3.10    -2.48    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  144.27 11/19   0.58  2/19   0.11  289.09  0/11   0.00 |   0.688  0.625   0.71  0.376   1.88     11    0.339     16
232         400 |     5.63     0.00     0.00    -2.07    -3.30    11.00     0.00 | 11/19   0.58  8   0.42  0/11   0.00  120.09 11/19   0.58  0/19   0.00  274.91  0/11   0.00 |   0.600  0.733   0.75  0.438   1.71     11    0.376     15
233         500 |     5.29     0.00     0.00    -3.07    -2.65    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  156.18 11/19   0.58  2/19   0.11  232.82  0/11   0.00 |   0.675  0.625   0.76  0.424   1.81     12    0.330     16
234         600 |     5.59     0.00     0.00    -3.27    -3.14    12.00     0.00 | 12/18   0.67  9   0.50  5/12   0.42  207.17 12/18   0.67  2/18   0.11  279.08  0/12   0.00 |   0.680  0.550   0.69  0.371   1.85     11    0.280     20
235         700 |     6.33     0.00     0.00    -3.13    -2.53    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  218.58 12/18   0.67  4/18   0.22  276.58  0/12   0.00 |   0.700  0.600   0.70  0.371   1.87     12    0.317     20
236         800 |     7.56     0.00     0.00    -2.03    -3.40    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  153.92 13/17   0.76  0/17   0.00  337.92  0/13   0.00 |   0.706  0.588   0.63  0.344   1.84     10    0.445     17
237         900 |     6.73     0.00     0.00    -2.07    -3.21    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  131.33 12/18   0.67  2/18   0.11  299.67  0/12   0.00 |   0.659  0.588   0.61  0.344   1.77     12    0.396     17
238        1000 |     8.07     0.00     0.00    -2.08    -3.84    14.00     0.00 | 14/16   0.88  4   0.25  3/14   0.21  152.64 14/16   0.88  0/16   0.00  261.50  0/14   0.00 |   0.710  0.550   0.57  0.305   1.88     12    0.404     20
239         100 |     6.04     0.00     0.00    -3.07    -2.89    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  183.42 12/18   0.67  4/18   0.22  271.42  0/12   0.00 |   0.600  0.706   0.83  0.456   1.83     12    0.355     17
240         200 |     4.72     0.00     0.00    -2.55    -3.73    11.00     0.00 | 11/19   0.58  8   0.42  1/11   0.09  135.64 11/19   0.58  0/19   0.00  349.00  0/11   0.00 |   0.718  0.529   0.52  0.300   1.74      9    0.278     17
241         300 |     5.32     0.00     0.00    -3.10    -2.58    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  148.82 11/19   0.58  0/19   0.00  304.18  0/11   0.00 |   0.747  0.474   0.53  0.310   1.71     10    0.280     19
242         400 |     4.61     0.00     0.00    -2.60    -3.79    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  171.45 11/19   0.58  2/19   0.11  251.09  0/11   0.00 |   0.662  0.688   0.93  0.447   2.08     12    0.288     16
243         500 |     8.88     0.00     0.00    -1.57    -3.55    14.00     0.00 | 14/16   0.88  4   0.25  2/14   0.14  150.21 14/16   0.88  0/16   0.00  312.00  0/14   0.00 |   0.758  0.526   0.52  0.280   1.86     10    0.467     19
244         600 |     7.85     0.00     0.00    -2.10    -3.05    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  157.00 13/17   0.76  2/17   0.12  305.31  0/13   0.00 |   0.656  0.667   0.65  0.368   1.77     12    0.436     18
245         700 |     5.11     0.00     0.00    -3.10    -2.79    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  160.27 11/19   0.58  0/19   0.00  360.18  0/11   0.00 |   0.760  0.500   0.56  0.324   1.74     12    0.255     20
246         800 |     5.85     0.00     0.00    -2.85    -3.30    12.00     0.00 | 12/18   0.67  8   0.44  4/12   0.33  156.75 12/18   0.67  2/18   0.11  294.50  0/12   0.00 |   0.718  0.588   0.70  0.356   1.97     12    0.344     17
247         900 |     5.78     0.00     0.00    -2.60    -3.62    12.00     0.00 | 14/18   0.78  8   0.44  4/14   0.29  235.64 12/18   0.67  0/18   0.00  245.33  2/14   0.14 |   0.680  0.600   0.70  0.371   1.87     12    0.289     20
248        1000 |     7.42     0.00     0.00    -2.97    -2.61    13.00     0.00 | 15/17   0.88  6   0.35  4/15   0.27  171.47 13/17   0.76  0/17   0.00  285.85  2/15   0.13 |   0.730  0.550   0.54  0.295   1.84     11    0.371     20
249         100 |     6.18     0.00     0.00    -2.10    -3.72    12.00     0.00 | 14/18   0.78  6   0.33  2/14   0.14  192.64 12/18   0.67  2/18   0.11  255.42  2/14   0.14 |   0.670  0.600   0.65  0.333   1.94     12    0.309     20
250         200 |     6.43     0.00     0.00    -2.60    -2.97    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  157.00 12/18   0.67  0/18   0.00  304.33  0/12   0.00 |   0.740  0.550   0.57  0.305   1.88     11    0.322     20
251         300 |     6.64     0.00     0.00    -3.17    -2.20    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  161.50 12/18   0.67  2/18   0.11  259.67  0/12   0.00 |   0.733  0.500   0.71  0.326   2.16     11    0.369     18
252         400 |     5.15     0.00     0.00    -2.53    -3.32    11.00     0.00 | 11/19   0.58  8   0.42  1/11   0.09  120.64 11/19   0.58  0/19   0.00  273.00  0/11   0.00 |   0.680  0.667   0.60  0.362   1.66     11    0.343     15
253         500 |     5.58     0.00     0.00    -3.13    -3.29    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  218.25 12/18   0.67  4/18   0.22  279.00  0/12   0.00 |   0.689  0.611   0.88  0.432   2.05     12    0.310     18
254         600 |     7.00     0.00     0.00    -2.60    -2.40    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  143.08 12/18   0.67  0/18   0.00  287.17  0/12   0.00 |   0.722  0.611   0.53  0.316   1.67     12    0.389     18
255         700 |     6.87     0.00     0.00    -2.07    -3.06    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  125.33 12/18   0.67  2/18   0.11  292.75  0/12   0.00 |   0.729  0.706   0.57  0.333   1.70     12    0.404     17
256         800 |     8.01     0.00     0.00    -3.38    -2.60    14.00     0.00 | 14/16   0.88  7   0.44  6/14   0.43  185.43 14/16   0.88  0/16   0.00  264.07  0/14   0.00 |   0.674  0.632   0.78  0.410   1.90     12    0.422     19
257         900 |     7.46     0.00     0.00    -3.13    -2.41    13.00     0.00 | 13/17   0.76  8   0.47  4/13   0.31  150.31 13/17   0.76  2/17   0.12  275.85  0/13   0.00 |   0.706  0.647   0.57  0.322   1.76     11    0.439     17
258        1000 |     7.06     0.00     0.00    -2.10    -3.84    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  180.54 13/17   0.76  0/17   0.00  231.69  0/13   0.00 |   0.700  0.550   0.63  0.333   1.89     11    0.353     20
259         100 |     6.52     0.00     0.00    -2.57    -2.91    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  149.25 12/18   0.67  0/18   0.00  314.42  0/12   0.00 |   0.711  0.556   0.53  0.316   1.67     12    0.362     18
260         200 |     1.39     0.00     0.00    -6.63    -3.97    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  209.58 12/18   0.67  4/18   0.22  275.58  0/12   0.00 |   0.670  0.600   0.70  0.410   1.70     12    0.070     20
261         300 |     6.71     0.00     0.00    -2.07    -3.23    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  131.08 12/18   0.67  0/18   0.00  330.00  0/12   0.00 |   0.744  0.500   0.49  0.295   1.68     10    0.373     18
262         400 |     4.09     0.00     0.00    -3.50    -3.41    11.00     0.00 | 13/19   0.68 10   0.53  5/13   0.38  249.08 11/19   0.58  4/19   0.21  249.36  2/13   0.15 |   0.700  0.600   0.81  0.390   2.07     12    0.204     20
263         500 |     7.07     0.00     0.00    -2.10    -2.83    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  120.17 12/18   0.67  2/18   0.11  271.42  0/12   0.00 |   0.675  0.625   0.61  0.353   1.73     10    0.442     16
264         600 |     6.90     0.00     0.00    -2.57    -3.53    13.00     0.00 | 15/17   0.88  7   0.41  5/15   0.33  239.13 13/17   0.76  0/17   0.00  274.77  2/15   0.13 |   0.730  0.550   0.73  0.343   2.14     12    0.345     20
265         700 |     7.73     0.00     0.00    -2.57    -2.70    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  160.23 13/17   0.76  0/17   0.00  266.08  0/13   0.00 |   0.635  0.706   0.69  0.389   1.77     12    0.455     17
266         800 |     7.61     0.00     0.00    -2.57    -2.82    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  180.08 13/17   0.76  2/17   0.12  301.23  0/13   0.00 |   0.690  0.600   0.63  0.362   1.74     12    0.381     20
267         900 |     2.74     0.00     0.00    -5.17    -3.10    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  166.18 11/19   0.58  2/19   0.11  291.55  0/11   0.00 |   0.675  0.688   0.73  0.353   2.07     11    0.171     16
268        1000 |     6.98     0.00     0.00    -3.67    -2.36    13.00     0.00 | 13/17   0.76  9   0.53  5/13   0.38  217.62 13/17   0.76  4/17   0.24  334.46  0/13   0.00 |   0.740  0.500   0.65  0.343   1.89     12    0.349     20
269         100 |     6.36     0.00     0.00    -2.07    -3.58    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  142.92 12/18   0.67  0/18   0.00  294.92  0/12   0.00 |   0.678  0.556   0.61  0.347   1.76     11    0.353     18
270         200 |     6.16     0.00     0.00    -3.67    -2.17    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  193.33 12/18   0.67  2/18   0.11  303.83  0/12   0.00 |   0.632  0.632   0.82  0.430   1.91     12    0.324     19
271         300 |     7.26     0.00     0.00    -2.60    -3.14    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  165.69 13/17   0.76  0/17   0.00  247.08  0/13   0.00 |   0.700  0.550   0.64  0.352   1.81     12    0.363     20
272         400 |     6.18     0.00     0.00    -3.63    -2.18    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  201.58 12/18   0.67  2/18   0.11  273.92  0/12   0.00 |   0.600  0.688   0.89  0.471   1.90     12    0.386     16
273         500 |     7.75     0.00     0.00    -2.10    -3.15    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  153.62 13/17   0.76  2/17   0.12  267.92  0/13   0.00 |   0.750  0.550   0.50  0.305   1.62     12    0.387     20
274         600 |     6.93     0.00     0.00    -3.37    -2.71    13.00     0.00 | 13/17   0.76  8   0.47  5/13   0.38  190.46 13/17   0.76  0/17   0.00  243.54  0/13   0.00 |   0.720  0.600   0.64  0.324   1.97     12    0.346     20
275         700 |     5.54     0.00     0.00    -2.57    -3.89    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  212.25 12/18   0.67  2/18   0.11  304.42  0/12   0.00 |   0.716  0.579   0.65  0.340   1.91     11    0.292     19
276         800 |     7.62     0.00     0.00    -1.60    -3.78    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  145.23 13/17   0.76  0/17   0.00  333.38  0/13   0.00 |   0.760  0.550   0.53  0.324   1.65     12    0.381     20
277         900 |     6.54     0.00     0.00    -3.10    -2.36    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  163.42 12/18   0.67  4/18   0.22  256.83  0/12   0.00 |   0.671  0.647   0.63  0.367   1.73     12    0.385     17
278        1000 |     7.33     0.00     0.00    -2.60    -3.07    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  169.23 13/17   0.76  0/17   0.00  296.85  0/13   0.00 |   0.642  0.632   0.72  0.380   1.89     12    0.386     19
279         100 |     6.77     0.00     0.00    -2.60    -2.63    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  132.08 12/18   0.67  0/18   0.00  305.42  0/12   0.00 |   0.671  0.647   0.61  0.344   1.77     11    0.398     17
280         200 |     6.27     0.00     0.00    -2.10    -3.63    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  158.33 12/18   0.67  4/18   0.22  302.67  0/12   0.00 |   0.705  0.579   0.64  0.360   1.78     11    0.330     19
281         300 |     7.31     0.00     0.00    -1.95    -3.74    13.00     0.00 | 13/17   0.76  5   0.29  2/13   0.15  144.69 13/17   0.76  0/17   0.00  278.54  0/13   0.00 |   0.747  0.579   0.47  0.290   1.62     11    0.385     19
282         400 |     6.15     0.00     0.00    -3.70    -2.15    12.00     0.00 | 12/18   0.67 10   0.56  5/12   0.42  174.42 12/18   0.67  0/18   0.00  290.42  0/12   0.00 |   0.741  0.588   0.62  0.322   1.93     12    0.362     17
283         500 |     5.06     0.00     0.00    -3.13    -3.80    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  221.17 12/18   0.67  4/18   0.22  275.92  0/12   0.00 |   0.656  0.611   0.78  0.368   2.11     11    0.281     18
284         600 |     6.73     0.00     0.00    -2.60    -2.67    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  139.25 12/18   0.67  0/18   0.00  266.83  0/12   0.00 |   0.640  0.667   0.71  0.400   1.78     10    0.449     15
285         700 |     5.09     0.00     0.00    -4.10    -1.81    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  188.27 11/19   0.58  0/19   0.00  256.00  0/11   0.00 |   0.674  0.632   0.71  0.410   1.73     12    0.268     19
286         800 |     6.55     0.00     0.00    -2.57    -2.89    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  140.42 12/18   0.67  2/18   0.11  295.50  0/12   0.00 |   0.667  0.667   0.65  0.375   1.73     11    0.437     15
287         900 |     6.28     0.00     0.00    -2.60    -3.12    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  159.58 12/18   0.67  0/18   0.00  319.50  0/12   0.00 |   0.789  0.579   0.54  0.300   1.80     11    0.331     19
288        1000 |     7.00     0.00     0.00    -2.07    -2.93    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  126.75 12/18   0.67  2/18   0.11  301.33  0/12   0.00 |   0.688  0.688   0.56  0.353   1.60     12    0.438     16
289         100 |     5.58     0.00     0.00    -3.60    -1.82    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  155.91 11/19   0.58  4/19   0.21  341.55  0/11   0.00 |   0.705  0.579   0.60  0.330   1.82     11    0.294     19
290         200 |     7.07     0.00     0.00    -2.63    -2.30    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  142.58 12/18   0.67  2/18   0.11  253.00  0/12   0.00 |   0.682  0.588   0.70  0.367   1.91     11    0.416     17
291         300 |     4.26     0.00     0.00    -3.08    -3.65    11.00     0.00 | 13/19   0.68  9   0.47  4/13   0.31  209.92 11/19   0.58  0/19   0.00  307.27  2/13   0.15 |   0.710  0.550   0.72  0.362   2.00     12    0.213     20
292         400 |     5.93     0.00     0.00    -2.33    -3.74    12.00     0.00 | 12/18   0.67  7   0.39  2/12   0.17  180.58 12/18   0.67  0/18   0.00  244.25  0/12   0.00 |   0.726  0.526   0.70  0.330   2.12     10    0.312     19
293         500 |     6.34     0.00     0.00    -2.37    -3.29    12.00     0.00 | 12/18   0.67  7   0.39  2/12   0.17  138.75 12/18   0.67  0/18   0.00  230.42  0/12   0.00 |   0.711  0.556   0.66  0.358   1.85     11    0.352     18
294         600 |     5.22     0.00     0.00    -3.10    -2.68    11.00     0.00 | 11/19   0.58 10   0.53  3/11   0.27  175.09 11/19   0.58  2/19   0.11  305.64  0/11   0.00 |   0.722  0.611   0.63  0.379   1.67     11    0.290     18
295         700 |     6.34     0.00     0.00    -3.10    -2.56    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  172.00 12/18   0.67  0/18   0.00  279.83  0/12   0.00 |   0.737  0.632   0.65  0.330   1.97     12    0.334     19
296         800 |     7.20     0.00     0.00    -3.47    -3.33    14.00     0.00 | 14/16   0.88  5   0.31  4/14   0.29  170.50 14/16   0.88  0/16   0.00  334.50  0/14   0.00 |   0.750  0.550   0.51  0.295   1.74     12    0.360     20
297         900 |     6.48     0.00     0.00    -2.60    -2.92    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  150.08 12/18   0.67  2/18   0.11  297.75  0/12   0.00 |   0.695  0.579   0.48  0.310   1.55     12    0.341     19
298        1000 |     4.21     0.00     0.00    -4.10    -2.69    11.00     0.00 | 11/19   0.58 12   0.63  5/11   0.45  255.00 11/19   0.58  2/19   0.11  276.18  0/11   0.00 |   0.690  0.600   0.75  0.381   1.98     12    0.210     20
299         100 |     7.52     0.00     0.00    -2.60    -2.89    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  151.31 13/17   0.76  0/17   0.00  318.31  0/13   0.00 |   0.758  0.579   0.53  0.320   1.66     12    0.396     19
300         200 |     6.59     0.00     0.00    -3.10    -2.32    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  156.83 12/18   0.67  0/18   0.00  332.25  0/12   0.00 |   0.694  0.529   0.64  0.333   1.93      9    0.387     17
301         300 |     6.04     0.00     0.00    -2.60    -3.36    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  161.17 12/18   0.67  0/18   0.00  271.08  0/12   0.00 |   0.682  0.529   0.72  0.378   1.91     11    0.355     17
302         400 |     4.61     0.00     0.00    -4.13    -2.26    11.00     0.00 | 13/19   0.68 12   0.63  6/13   0.46  265.00 11/19   0.58  2/19   0.11  239.73  2/13   0.15 |   0.670  0.600   0.78  0.390   2.00     12    0.230     20
303         500 |     5.10     0.00     0.00    -2.48    -3.41    11.00     0.00 | 11/19   0.58  8   0.42  1/11   0.09  124.09 11/19   0.58  0/19   0.00  318.73  0/11   0.00 |   0.729  0.588   0.57  0.333   1.70     11    0.300     17
304         600 |     5.65     0.00     0.00    -3.62    -2.73    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  184.58 12/18   0.67  2/18   0.11  273.83  0/12   0.00 |   0.726  0.632   0.63  0.360   1.75     12    0.298     19
305         700 |     5.63     0.00     0.00    -3.18    -3.19    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  208.33 12/18   0.67  4/18   0.22  330.75  0/12   0.00 |   0.684  0.632   0.75  0.400   1.88     12    0.296     19
306         800 |     6.51     0.00     0.00    -3.13    -2.36    12.00     0.00 | 14/18   0.78  9   0.50  5/14   0.36  218.21 12/18   0.67  0/18   0.00  296.83  2/14   0.14 |   0.680  0.600   0.71  0.362   1.97     12    0.326     20
307         900 |     6.28     0.00     0.00    -3.07    -2.65    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  177.00 12/18   0.67  2/18   0.11  287.50  0/12   0.00 |   0.656  0.667   0.66  0.432   1.54     12    0.349     18
308        1000 |     6.62     0.00     0.00    -3.10    -2.29    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  160.25 12/18   0.67  0/18   0.00  332.17  0/12   0.00 |   0.710  0.600   0.55  0.305   1.81     12    0.331     20
309         100 |     7.83     0.00     0.00    -2.07    -3.10    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  140.85 13/17   0.76  0/17   0.00  218.15  0/13   0.00 |   0.700  0.611   0.72  0.389   1.84     11    0.435     18
310         200 |     4.17     0.00     0.00    -3.63    -3.20    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  159.00 11/19   0.58  0/19   0.00  265.64  0/11   0.00 |   0.700  0.667   0.55  0.358   1.53     12    0.232     18
311         300 |     4.90     0.00     0.00    -3.17    -2.93    11.00     0.00 | 13/19   0.68 10   0.53  4/13   0.31  210.62 11/19   0.58  4/19   0.21  239.18  2/13   0.15 |   0.670  0.600   0.84  0.410   2.05     12    0.245     20
312         400 |     5.11     0.00     0.00    -2.57    -3.32    11.00     0.00 | 13/19   0.68  9   0.47  3/13   0.23  196.69 11/19   0.58  0/19   0.00  205.00  2/13   0.15 |   0.680  0.550   0.70  0.381   1.85     11    0.256     20
313         500 |     6.56     0.00     0.00    -2.60    -2.84    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  145.83 12/18   0.67  4/18   0.22  269.33  0/12   0.00 |   0.588  0.647   0.76  0.433   1.74     11    0.386     17
314         600 |     3.99     0.00     0.00    -3.15    -2.87    10.00     0.00 | 12/20   0.60 11   0.55  4/12   0.33  217.92 10/20   0.50  0/20   0.00  350.50  2/12   0.17 |   0.730  0.600   0.59  0.324   1.82     12    0.199     20
315         700 |     5.92     0.00     0.00    -4.08    -3.00    13.00     0.00 | 13/17   0.76  9   0.53  6/13   0.46  213.23 13/17   0.76  0/17   0.00  231.00  0/13   0.00 |   0.718  0.647   0.72  0.367   1.97     11    0.348     17
316         800 |     7.76     0.00     0.00    -1.57    -3.67    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  137.92 13/17   0.76  0/17   0.00  334.15  0/13   0.00 |   0.725  0.625   0.65  0.341   1.90     10    0.485     16
317         900 |     5.81     0.00     0.00    -2.97    -3.22    12.00     0.00 | 14/18   0.78  7   0.39  4/14   0.29  181.29 12/18   0.67  0/18   0.00  243.67  2/14   0.14 |   0.750  0.550   0.67  0.324   2.06     11    0.291     20
318        1000 |     5.65     0.00     0.00    -2.63    -2.72    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  124.18 11/19   0.58  0/19   0.00  272.18  0/11   0.00 |   0.667  0.611   0.69  0.421   1.65     12    0.314     18
319         100 |     8.41     0.00     0.00    -2.10    -2.48    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  131.15 13/17   0.76  2/17   0.12  325.00  0/13   0.00 |   0.768  0.526   0.46  0.280   1.64     12    0.443     19
320         200 |     4.94     0.00     0.00    -3.63    -2.43    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  177.82 11/19   0.58  4/19   0.21  317.91  0/11   0.00 |   0.671  0.647   0.72  0.400   1.81     12    0.291     17
321         300 |     4.82     0.00     0.00    -3.60    -2.58    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  180.91 11/19   0.58  0/19   0.00  293.00  0/11   0.00 |   0.689  0.667   0.74  0.368   2.00     12    0.268     18
322         400 |     6.83     0.00     0.00    -2.27    -3.91    13.00     0.00 | 15/17   0.88  6   0.35  5/15   0.33  215.00 13/17   0.76  2/17   0.12  237.85  2/15   0.13 |   0.680  0.550   0.68  0.343   1.97     11    0.341     20
323         500 |     7.25     0.00     0.00    -1.87    -3.88    13.00     0.00 | 13/17   0.76  5   0.29  2/13   0.15  147.00 13/17   0.76  0/17   0.00  255.46  0/13   0.00 |   0.710  0.550   0.59  0.314   1.88     12    0.363     20
324         600 |     5.39     0.00     0.00    -4.21    -2.40    12.00     0.00 | 12/18   0.67 11   0.61  5/12   0.42  260.42 12/18   0.67  0/18   0.00  220.58  0/12   0.00 |   0.611  0.667   0.92  0.453   2.02     12    0.299     18
325         700 |     7.10     0.00     0.00    -1.57    -3.34    12.00     0.00 | 12/18   0.67  6   0.33  0/12   0.00  111.17 12/18   0.67  0/18   0.00  277.00  0/12   0.00 |   0.688  0.625   0.52  0.329   1.57     10    0.444     16
